Dist: 127.13092313, Mag: 45.4621764948, Danger: 0
Dist: 75.2105046583, Mag: 44.2075428254, Danger: 0
Dist: 7.01855575993, Mag: 48.7326295919, Danger: 0
Dist: 23.7198239872, Mag: 45.3400767367, Danger: 0
Dist: 3.41139174801, Mag: 48.6874363585, Danger: 1
Dist: 28.9892839979, Mag: 42.0853382965, Danger: 0
Dist: 115.773658935, Mag: 61.4398646528, Danger: 0
Dist: 8.68181678631, Mag: 46.9645438461, Danger: 0
Dist: 31.1071926995, Mag: 31.3244423353, Danger: 0
Dist: 3.53816003873, Mag: 46.4384506282, Danger: 1
Dist: 89.3195397692, Mag: 41.5603045456, Danger: 0
Dist: 29.5074561404, Mag: 36.0919343417, Danger: 0
Dist: 49.8670737576, Mag: 38.5186872606, Danger: 0
Dist: 1.730824316, Mag: 39.0960641967, Danger: 1
Dist: 38.3465854821, Mag: 42.6920687279, Danger: 0
Dist: 95.4926058489, Mag: 43.0297089496, Danger: 0
Dist: 9.0440742267, Mag: 41.9864713939, Danger: 0
Dist: 1.67310998233, Mag: 47.2982488851, Danger: 1
Dist: 111.408843924, Mag: 43.7122320818, Danger: 0
Dist: 3.5183009938, Mag: 43.7937370705, Danger: 1
Dist: 127.137395505, Mag: 48.7671130491, Danger: 0
Dist: 75.2122105636, Mag: 46.6217435935, Danger: 0
Dist: 7.01854579709, Mag: 49.1545355939, Danger: 0
Dist: 23.726861488, Mag: 47.6553363753, Danger: 0
Dist: 3.41152813934, Mag: 52.9797625202, Danger: 1
Dist: 28.9977184879, Mag: 44.5174693771, Danger: 0
Dist: 115.771041299, Mag: 66.1792601704, Danger: 0
Dist: 8.68094430044, Mag: 47.4588057554, Danger: 0
Dist: 31.1108760745, Mag: 31.4114123376, Danger: 0
Dist: 3.53791184864, Mag: 46.3136081327, Danger: 1
Dist: 89.3186186863, Mag: 41.6305408695, Danger: 0
Dist: 29.5074913904, Mag: 40.0304712619, Danger: 0
Dist: 49.8656179115, Mag: 39.25959377, Danger: 0
Dist: 1.73060627633, Mag: 39.9605519873, Danger: 1
Dist: 38.3477847551, Mag: 45.9072405066, Danger: 0
Dist: 95.4908813587, Mag: 43.1624258076, Danger: 0
Dist: 9.04822396701, Mag: 46.1609750051, Danger: 0
Dist: 1.67236345905, Mag: 47.5124223288, Danger: 1
Dist: 111.387872576, Mag: 47.4561904226, Danger: 0
Dist: 3.51866060721, Mag: 46.782061289, Danger: 1
Dist: 127.141721729, Mag: 49.6850585691, Danger: 0
Dist: 75.2041341376, Mag: 46.5014981154, Danger: 0
Dist: 7.01886449286, Mag: 49.5678274489, Danger: 0
Dist: 23.7283678448, Mag: 49.0025360347, Danger: 0
Dist: 3.41167551383, Mag: 54.5869854833, Danger: 1
Dist: 28.9972960008, Mag: 49.1048069177, Danger: 0
Dist: 115.755205482, Mag: 66.9114922275, Danger: 0
Dist: 8.68118127099, Mag: 49.812360924, Danger: 0
Dist: 31.1193101091, Mag: 35.2607168038, Danger: 0
Dist: 3.53785879212, Mag: 47.6869121232, Danger: 1
Dist: 89.318198048, Mag: 43.2010923345, Danger: 0
Dist: 29.5094797542, Mag: 40.9198998471, Danger: 0
Dist: 49.8678747959, Mag: 43.0362109628, Danger: 0
Dist: 1.73053816017, Mag: 42.0442726663, Danger: 1
Dist: 38.3400106746, Mag: 49.0664049343, Danger: 0
Dist: 95.4892660965, Mag: 46.8466752227, Danger: 0
Dist: 9.04459253184, Mag: 50.337104703, Danger: 0
Dist: 1.67294941121, Mag: 47.4029947413, Danger: 1
Dist: 111.383006219, Mag: 52.1804940811, Danger: 0
Dist: 3.51872134215, Mag: 50.6222948071, Danger: 1
Dist: 127.120779046, Mag: 52.3023888145, Danger: 0
Dist: 75.2029267447, Mag: 50.5901113324, Danger: 0
Dist: 7.0200935967, Mag: 53.730033859, Danger: 0
Dist: 23.719596563, Mag: 51.7471431576, Danger: 0
Dist: 3.41167745364, Mag: 58.7730015339, Danger: 1
Dist: 29.0016072058, Mag: 53.4580407676, Danger: 0
Dist: 115.750606624, Mag: 67.2477450319, Danger: 0
Dist: 8.68116486567, Mag: 51.6205844903, Danger: 0
Dist: 31.1188336909, Mag: 38.1770800528, Danger: 0
Dist: 3.53734505187, Mag: 50.1903188357, Danger: 1
Dist: 89.318266211, Mag: 43.6842764129, Danger: 0
Dist: 29.5126615252, Mag: 45.2541989959, Danger: 0
Dist: 49.868643584, Mag: 44.4665010056, Danger: 0
Dist: 1.73003836532, Mag: 43.2443018263, Danger: 1
Dist: 38.346443324, Mag: 50.0967568771, Danger: 0
Dist: 95.480731997, Mag: 47.6891014296, Danger: 0
Dist: 9.04824250413, Mag: 53.8597088305, Danger: 0
Dist: 1.68200739052, Mag: 50.6530198575, Danger: 1
Dist: 111.40050284, Mag: 54.695095371, Danger: 0
Dist: 3.51841122131, Mag: 54.6356200073, Danger: 1
Dist: 127.135609876, Mag: 55.744988701, Danger: 0
Dist: 75.1997685431, Mag: 53.0601990042, Danger: 0
Dist: 7.02050047096, Mag: 57.4202592142, Danger: 0
Dist: 23.718930457, Mag: 55.8122073209, Danger: 0
Dist: 3.41109190472, Mag: 61.744338207, Danger: 1
Dist: 28.9985015651, Mag: 53.5710291436, Danger: 0
Dist: 115.733927743, Mag: 68.5608869352, Danger: 0
Dist: 8.68122706529, Mag: 56.1909806043, Danger: 0
Dist: 31.115645625, Mag: 40.0067594442, Danger: 0
Dist: 3.53731749799, Mag: 52.0438702999, Danger: 1
Dist: 89.3178411571, Mag: 45.5421768644, Danger: 0
Dist: 29.5179754478, Mag: 47.0160887017, Danger: 0
Dist: 49.8724096289, Mag: 47.2743481348, Danger: 0
Dist: 1.7301181055, Mag: 45.8517500958, Danger: 1
Dist: 38.3446668074, Mag: 50.7120930462, Danger: 0
Dist: 95.4664944258, Mag: 50.4672583099, Danger: 0
Dist: 9.04911898712, Mag: 57.4421619613, Danger: 0
Dist: 1.68400257946, Mag: 53.1023602575, Danger: 1
Dist: 111.392250744, Mag: 56.3166609014, Danger: 0
Dist: 3.51909378651, Mag: 55.4205621332, Danger: 1
Dist: 127.134072702, Mag: 59.164779219, Danger: 0
Dist: 75.1998241274, Mag: 56.4644675443, Danger: 0
Dist: 7.02063129546, Mag: 60.6647078433, Danger: 0
Dist: 23.7224082295, Mag: 59.9773481832, Danger: 0
Dist: 3.41102661055, Mag: 61.8260935787, Danger: 1
Dist: 29.0004196292, Mag: 55.6126547991, Danger: 0
Dist: 115.756220351, Mag: 69.0721394943, Danger: 0
Dist: 8.68122281013, Mag: 57.9565232578, Danger: 0
Dist: 31.1206987545, Mag: 40.1715972046, Danger: 0
Dist: 3.53706998872, Mag: 53.0628109067, Danger: 1
Dist: 89.3170781286, Mag: 45.8270292231, Danger: 0
Dist: 29.5165145568, Mag: 48.4297744823, Danger: 0
Dist: 49.8824185406, Mag: 49.7383165188, Danger: 0
Dist: 1.72995362538, Mag: 50.2064535732, Danger: 1
Dist: 38.3469005745, Mag: 53.708526438, Danger: 0
Dist: 95.4713920196, Mag: 54.6404111385, Danger: 0
Dist: 9.04156115963, Mag: 61.6254222883, Danger: 0
Dist: 1.68116533972, Mag: 55.9384947067, Danger: 1
Dist: 111.392010559, Mag: 57.7426397626, Danger: 0
Dist: 3.51836671233, Mag: 57.565564825, Danger: 1
Dist: 127.134665771, Mag: 58.9680853876, Danger: 0
Dist: 75.2033423827, Mag: 60.3660613536, Danger: 0
Dist: 7.0208587376, Mag: 64.4031146327, Danger: 0
Dist: 23.7236694461, Mag: 62.6743654452, Danger: 0
Dist: 3.41070359275, Mag: 61.6981676103, Danger: 1
Dist: 29.0069632672, Mag: 59.1805116363, Danger: 0
Dist: 115.745145143, Mag: 72.2749599251, Danger: 0
Dist: 8.68025652561, Mag: 60.8244182824, Danger: 0
Dist: 31.1303237255, Mag: 42.2780786836, Danger: 0
Dist: 3.53742103868, Mag: 55.6351164943, Danger: 1
Dist: 89.3186461067, Mag: 46.13183262, Danger: 0
Dist: 29.5148321698, Mag: 50.3535901705, Danger: 0
Dist: 49.8808577057, Mag: 53.2449676713, Danger: 0
Dist: 1.73041593459, Mag: 53.7337261422, Danger: 1
Dist: 38.3491078276, Mag: 56.6883333307, Danger: 0
Dist: 95.4615668612, Mag: 57.2153475385, Danger: 0
Dist: 9.04362964781, Mag: 66.245200098, Danger: 0
Dist: 1.68292486339, Mag: 57.8987226191, Danger: 1
Dist: 111.370365622, Mag: 58.0281953296, Danger: 0
Dist: 3.51799355744, Mag: 58.555993763, Danger: 1
Dist: 127.121267533, Mag: 61.6613148617, Danger: 0
Dist: 75.1964589947, Mag: 62.4994429959, Danger: 0
Dist: 7.02026973791, Mag: 65.2089134928, Danger: 0
Dist: 23.7281229596, Mag: 65.2336715916, Danger: 0
Dist: 3.41105730867, Mag: 62.9119078591, Danger: 1
Dist: 29.0123690203, Mag: 59.0318394282, Danger: 0
Dist: 115.760674744, Mag: 73.6026530608, Danger: 0
Dist: 8.68065841376, Mag: 61.3965528034, Danger: 0
Dist: 31.1203096763, Mag: 45.0634662956, Danger: 0
Dist: 3.53681088147, Mag: 59.551022495, Danger: 1
